Service Name, Eircode,Lat,Lon, Address, Town, County, Country, Phone,Link,Other
Beaufort Community Care Group, V93 F2NY,52.06938849,-9.640367323,Beaufort,, Kerry, Ireland,064 6644859,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Castleisland St Vincent De Paul, V92 TD5F,52.23033518,-9.462796615,33 Church Street , Castleisland, Kerry, Ireland,066 7142234,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Baile Mhuire Ltd, V92 TC59,52.27504876,-9.713838938,Bhaile Mhuire Centre Balloonagh, Tralee, Kerry, Ireland,066 7123373,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Castleisland Day Care Centre, V92 K138,52.23064773,-9.460728084,Chapel Lane , Castleisland, Kerry, Ireland,066 7143865,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Buds Family & Community Resource Centre Ballyduff, V92 A2VC,52.45165103,-9.663566553,Benmore Ballyduff, Tralee, Kerry, Ireland,066 7148883,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Ballybunion Community Centre, V31 TV25,52.51097322,-9.673495653,Lartigue Rd , Ballybunion, Kerry, Ireland,068 27799,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Ionad Lae na Dromoda / Dromid Day Centre, V23 RK10,51.90690173,-10.06148761,An Cillin Liath , Maistir Gaoithe, Kerry, Ireland,066 9474782,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Caherciveen Social Services, V23 R726,51.94667372,-10.23161259,Caherciveen Social Services Centre  The Old Barracks The Avenue, Caherciveen, Kerry, Ireland,066 9472779,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Comhlacht Forbartha An Gleanna, V23 F293,51.85008596,-10.3352487,An Gleann Ionad Lae  Rath Ciarain An Timleach Mor, Cathair Saidhbhin, Kerry, Ireland,066 9479366,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Coiste Forbartha na Sceilge Ballinskelligs Comm..., V23 DT28,51.83412477,-10.26407848,An Halla Pobail , Baile N Sceilg, Kerry, Ireland,066 947 9111,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Ballyphehane Community Centre,T12 WC6V,51.88514367,-8.474929084,Tory Top Road , Ballyphehane, Cork, Ireland,021 4965339,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Douglas Meals On Wheels, T12 C840,51.87458612,-8.437473954,Douglas Community Centre Church Road, Douglas, Cork, Ireland,021 4362289,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Blackrock / Mahon Meals On Wheels, T12 A020,51.89726427,-8.416774669,Convent Road ,, Cork, Ireland,021 4291603,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Bantry Care For The Aged Association Company Ltd, P75 YY93,51.67801062,-9.446536154,1 Ard Mhuire Hospital Road, Bantry, Cork, Ireland,085 730 0454,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
McAuley Day Care Centre Meals on Wheels Service, P56 TX68,52.35676324,-8.685475923,Main Street , Charville, Cork, Ireland,087 7691605,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Cobh Meals On Wheels, P24 YD88,51.85431083,-8.298517884,The Park Road Day Care Centre Park Road, Cobh, Cork, Ireland,021 4816054,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Blarney Care of the Aged, ,,,The Convent , Blarney, Cork, Ireland,087 7372706,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Kinsale Meals On Wheels,,,,Kinsale , Kinsale, Cork , Ireland,087 1509996,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
